"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product Search","2","0","Search for a valid product","0"
"0","","0","Product Search","1","0","Active page number should be 1 after performing a new search","0"
"0","","0","Product Search","1","0","Previous button should appear on second page","0"
"0","","0","Product Search","1","0","Next pagination button should be visible on first page","0"
"0","","0","Product Search","1","0","User can navigate to second page of search results","0"
"0","","0","Product Search","1","0","Page title should contain searched product","0"
"0","","0","Product Search","1","0","Search results should include the searched keyword in their titles","0"
"0","","0","Product Search","1","0","Previous button should be disabled on first page","0"
"0","","0","Product Search","1","0","The search field should have the correct placeholder text","0"
"0","","0","Product Search","1","0","User can navigate using Next button","0"
